age;job;education;marital;default;balance;housing;loan;previous;y
59;admin.;secondary;married;no;2343;yes;no;0;no
46;self-employed;tertiary;married;no;137;yes;yes;0;no
51;blue-collar;primary;married;no;173;yes;no;0;no
56;admin.;secondary;married;no;45;no;no;0;no
41;technician;secondary;married;no;1270;yes;no;0;no
46;management;secondary;married;no;16;yes;yes;0;no
57;retired;secondary;married;no;486;yes;no;0;no
42;management;secondary;married;no;50;no;no;0;no
30;technician;secondary;married;no;152;yes;yes;0;no
60;admin.;secondary;married;no;290;yes;no;0;no
60;blue-collar;unknown;married;no;54;yes;no;0;no
57;entrepreneur;secondary;married;no;-37;no;no;0;no
36;management;tertiary;married;no;101;yes;yes;0;no
55;blue-collar;secondary;married;no;383;no;no;0;yes
60;retired;tertiary;married;no;81;yes;no;0;no
39;technician;secondary;married;no;0;yes;no;0;no
46;management;tertiary;married;no;229;yes;no;0;no
44;blue-collar;secondary;single;no;-674;yes;no;0;no
53;blue-collar;primary;married;no;90;no;no;0;no
52;blue-collar;primary;single;no;128;yes;no;0;no
59;blue-collar;primary;married;no;179;yes;no;0;no
27;technician;tertiary;married;no;0;yes;no;0;yes
44;blue-collar;secondary;single;no;54;yes;no;0;no
47;technician;tertiary;married;no;151;yes;no;0;no
34;admin.;secondary;single;no;61;no;yes;0;yes
59;retired;secondary;single;no;30;yes;no;0;yes
45;management;tertiary;single;no;523;yes;no;0;no
29;services;secondary;married;no;31;yes;no;0;no
46;technician;secondary;married;no;79;no;no;0;no
56;self-employed;primary;married;no;-34;yes;yes;0;no
36;blue-collar;primary;married;no;448;yes;no;0;no
59;retired;primary;married;no;81;yes;no;0;no
44;blue-collar;secondary;married;no;144;yes;no;0;yes
41;admin.;secondary;married;no;351;yes;no;0;no
33;management;tertiary;married;no;-67;yes;no;0;no
59;management;tertiary;single;no;262;no;no;0;no
57;technician;primary;married;no;0;no;no;0;no
56;technician;unknown;married;no;56;yes;no;0;no
51;blue-collar;secondary;married;no;26;yes;no;0;no
34;admin.;unknown;married;no;3;yes;no;0;no
43;services;secondary;single;no;41;yes;yes;0;no
52;technician;tertiary;single;no;7;no;yes;0;no
33;technician;secondary;single;no;105;yes;no;0;no
29;admin.;secondary;married;no;818;yes;yes;0;no
34;services;secondary;married;no;-16;yes;yes;0;no
31;blue-collar;secondary;single;no;0;yes;no;0;yes
55;services;secondary;married;no;2476;yes;no;0;no
55;management;unknown;married;no;1185;no;no;0;no
32;admin.;secondary;single;no;217;yes;no;0;no
38;technician;secondary;married;no;1685;yes;no;0;no
55;admin.;secondary;single;no;802;yes;yes;0;no
28;unemployed;tertiary;married;no;0;yes;no;0;no
23;blue-collar;secondary;married;no;94;yes;no;0;no
32;technician;secondary;married;no;0;yes;no;0;no
43;services;unknown;married;no;0;no;no;0;no
32;blue-collar;secondary;married;no;517;yes;no;0;no
46;blue-collar;secondary;married;no;265;yes;no;0;no
53;housemaid;primary;single;no;947;yes;no;0;no
34;self-employed;secondary;married;no;3;yes;no;0;no
57;unemployed;tertiary;married;no;42;no;no;0;no
37;blue-collar;secondary;single;no;37;yes;no;0;no
59;blue-collar;secondary;single;no;57;yes;no;0;no
33;services;secondary;married;no;22;yes;no;0;no
56;blue-collar;primary;married;no;8;yes;no;0;no
48;unemployed;secondary;single;no;293;yes;no;0;no
43;services;primary;single;no;3;yes;no;0;no
54;blue-collar;primary;married;no;348;yes;no;0;no
51;blue-collar;unknown;married;no;-19;yes;no;0;no
26;student;secondary;married;no;0;yes;no;0;no
40;management;tertiary;married;no;-4;yes;no;0;no
39;management;secondary;married;no;18;yes;no;0;yes
50;technician;primary;married;no;139;no;no;0;no
41;services;secondary;single;no;0;yes;no;0;no
51;blue-collar;unknown;married;no;1883;yes;no;0;no
60;retired;secondary;married;no;216;yes;no;0;no
52;blue-collar;secondary;single;no;782;yes;no;0;no
48;blue-collar;secondary;single;no;904;yes;no;0;no
48;services;unknown;married;no;1705;yes;no;0;no
39;technician;tertiary;married;no;47;yes;no;0;no
47;services;secondary;married;no;176;yes;no;0;no
40;blue-collar;secondary;single;no;1225;yes;no;0;no
45;technician;secondary;married;no;86;yes;no;0;no
26;admin.;secondary;married;no;82;yes;no;0;no
52;management;tertiary;married;no;271;yes;no;0;no
54;technician;secondary;single;no;1378;yes;no;0;no
54;admin.;tertiary;married;no;184;no;no;0;no
50;blue-collar;primary;married;no;0;no;no;0;no
35;blue-collar;secondary;single;no;0;yes;no;0;no
44;services;secondary;single;no;1357;yes;yes;0;yes
53;entrepreneur;unknown;single;no;19;yes;no;0;no
35;retired;primary;single;no;434;no;no;0;no
60;admin.;secondary;married;no;92;yes;no;0;no
53;admin.;secondary;married;no;1151;yes;no;0;no
48;unemployed;secondary;married;no;41;yes;no;0;no
34;technician;secondary;married;no;51;yes;no;0;no
54;services;secondary;married;no;214;yes;no;0;no
51;management;secondary;married;no;1161;yes;no;0;no
31;services;tertiary;married;no;37;yes;no;0;no
35;technician;secondary;married;no;787;yes;no;0;no
35;services;secondary;single;no;59;yes;no;0;yes
38;technician;secondary;married;no;253;yes;no;0;no
36;admin.;tertiary;married;no;211;yes;no;0;no
58;retired;primary;single;no;235;yes;no;0;no
40;services;unknown;married;no;4384;yes;no;0;no
54;management;secondary;single;no;4080;no;no;0;no
34;blue-collar;secondary;married;no;53;yes;yes;0;no
31;management;tertiary;married;no;0;yes;no;0;no
51;retired;secondary;married;no;2127;yes;no;0;no
33;management;tertiary;married;no;377;yes;no;0;no
55;management;tertiary;single;no;73;yes;no;0;no
42;admin.;secondary;married;no;445;yes;no;0;no
34;blue-collar;secondary;married;no;243;yes;no;0;no
33;blue-collar;secondary;single;no;307;yes;no;0;no
38;services;secondary;married;no;155;yes;no;0;no
50;technician;tertiary;married;no;173;no;yes;0;no
43;management;tertiary;married;no;400;yes;no;0;no
61;blue-collar;primary;married;no;1428;yes;no;0;no
47;admin.;secondary;married;no;219;yes;no;0;yes
48;self-employed;tertiary;married;no;7;yes;no;0;no
44;blue-collar;secondary;married;no;575;yes;no;0;no
35;student;unknown;married;no;298;yes;no;0;yes
35;services;secondary;single;no;0;yes;no;0;no
50;services;secondary;married;no;5699;yes;no;0;no
41;management;tertiary;married;no;176;yes;yes;0;no
41;management;tertiary;married;no;517;yes;no;0;no
39;services;unknown;married;no;257;yes;no;0;no
42;retired;secondary;married;no;56;yes;no;0;no
38;blue-collar;secondary;married;no;-390;yes;no;0;no
53;retired;secondary;married;no;330;yes;no;0;yes
59;housemaid;primary;married;no;195;no;no;0;no
36;services;secondary;single;no;301;yes;no;0;no
54;blue-collar;primary;single;no;-41;yes;no;0;no
40;technician;tertiary;married;no;483;yes;no;0;no
47;unknown;unknown;single;no;28;no;no;0;no
53;unemployed;unknown;married;no;13;no;no;0;no
46;housemaid;primary;married;no;965;no;no;0;no
39;management;tertiary;married;no;378;yes;yes;0;no
40;unemployed;secondary;married;no;219;yes;no;0;no
28;blue-collar;primary;married;no;324;yes;no;0;no
35;entrepreneur;secondary;married;no;-69;yes;no;0;no
55;retired;secondary;single;no;0;no;yes;0;no
43;technician;unknown;married;no;205;yes;no;0;no
48;blue-collar;primary;married;no;278;yes;no;0;no
58;management;unknown;married;no;1065;yes;no;0;no
33;management;tertiary;single;no;34;yes;no;0;no
36;blue-collar;unknown;single;no;1033;no;no;0;no
53;services;secondary;single;no;1467;yes;no;0;no
47;blue-collar;primary;married;no;-12;yes;no;0;no
31;services;secondary;married;no;388;yes;no;0;no
57;entrepreneur;secondary;married;no;294;yes;no;0;no
53;blue-collar;unknown;married;no;1827;no;no;0;no
55;blue-collar;primary;married;no;627;yes;no;0;no
45;blue-collar;primary;married;no;25;yes;no;0;no
53;admin.;secondary;married;no;315;yes;no;0;no
37;blue-collar;primary;single;no;0;yes;no;0;yes
44;admin.;secondary;married;no;66;yes;no;0;no
49;blue-collar;primary;single;no;-9;yes;yes;0;no
46;technician;secondary;married;no;349;yes;yes;0;no
43;entrepreneur;unknown;single;no;100;yes;no;0;no
38;admin.;secondary;single;no;0;no;no;0;no
43;technician;secondary;married;no;434;yes;no;0;yes
49;management;tertiary;single;no;3237;yes;no;0;yes
42;management;unknown;married;no;275;no;no;0;no
22;blue-collar;secondary;married;no;0;yes;no;0;no
40;management;tertiary;married;no;207;yes;no;0;no
39;blue-collar;secondary;single;no;483;yes;no;0;no
51;services;secondary;married;no;2248;yes;no;0;no
49;admin.;secondary;single;no;428;yes;no;0;no
53;blue-collar;secondary;single;no;0;yes;yes;0;no
34;services;secondary;single;no;0;yes;no;0;yes
33;technician;secondary;married;no;140;yes;no;0;no
50;management;tertiary;married;no;297;yes;no;0;yes
39;blue-collar;primary;married;no;279;yes;no;0;no
59;entrepreneur;secondary;married;no;901;yes;no;0;no
30;technician;secondary;married;no;2573;yes;no;0;no
36;services;secondary;married;no;143;yes;yes;0;no
40;blue-collar;secondary;married;no;475;yes;no;0;no
53;blue-collar;secondary;married;no;70;yes;no;0;no
34;management;tertiary;single;no;318;yes;no;0;no
37;technician;secondary;married;no;275;yes;no;0;no
42;management;tertiary;married;no;742;yes;no;0;no
41;entrepreneur;primary;married;no;236;yes;no;0;yes
30;student;tertiary;married;no;25;yes;no;0;no
37;management;tertiary;married;no;600;yes;no;0;no
39;admin.;secondary;married;no;-349;yes;no;0;no
41;blue-collar;primary;married;no;183;yes;yes;0;no
40;blue-collar;primary;single;no;0;yes;no;0;no
42;management;tertiary;married;no;0;yes;yes;0;no
40;blue-collar;primary;married;no;0;yes;no;0;no
57;technician;secondary;married;no;1078;yes;no;0;no
56;entrepreneur;secondary;married;no;155;no;no;0;no
37;admin.;secondary;married;no;190;yes;no;0;no
59;retired;secondary;married;no;319;yes;no;0;no
39;services;secondary;married;no;-185;yes;no;0;yes
49;services;secondary;married;no;47;no;no;0;no
38;services;secondary;married;no;570;yes;no;0;no
36;self-employed;tertiary;single;no;19;no;no;0;no
50;blue-collar;primary;married;no;61;yes;no;0;no
41;admin.;secondary;single;no;-62;yes;yes;0;no
54;technician;tertiary;married;no;258;no;no;0;no
58;blue-collar;primary;married;no;76;yes;no;0;no
30;blue-collar;secondary;married;no;0;yes;no;0;no
33;admin.;secondary;single;no;352;yes;no;0;no
47;admin.;secondary;married;no;368;yes;no;0;yes
50;technician;tertiary;married;no;339;yes;no;0;no
32;blue-collar;secondary;single;no;1331;yes;no;0;no
40;self-employed;secondary;married;no;672;yes;no;0;no
37;management;tertiary;single;no;58;yes;no;0;no
54;technician;unknown;married;no;447;yes;no;0;no
24;student;secondary;single;no;423;yes;no;0;no
54;management;tertiary;married;no;0;no;no;0;yes
34;technician;secondary;married;no;19;yes;no;0;yes
56;technician;primary;married;no;13;yes;no;0;yes
31;blue-collar;secondary;married;no;3;yes;no;0;no
24;student;secondary;single;no;82;yes;no;0;no
42;blue-collar;primary;single;no;28;yes;no;0;no
57;technician;secondary;married;no;792;yes;no;0;no
42;blue-collar;unknown;single;no;408;yes;no;0;no
51;admin.;secondary;single;no;531;yes;no;0;no
57;retired;secondary;married;no;211;yes;no;0;yes
36;services;secondary;married;no;62;yes;no;0;no
53;services;unknown;married;no;257;yes;no;0;no
50;technician;secondary;married;no;1234;yes;no;0;no
54;management;tertiary;married;no;313;yes;no;0;no
55;blue-collar;secondary;married;no;89;yes;no;0;no
44;blue-collar;secondary;single;no;129;yes;yes;0;yes
43;management;unknown;married;no;0;yes;no;0;no
56;admin.;secondary;married;no;353;yes;no;0;no
54;technician;unknown;married;no;851;yes;no;0;no
55;services;primary;married;no;96;yes;yes;0;no
37;services;secondary;single;no;398;yes;yes;0;no
33;admin.;tertiary;single;no;193;no;no;0;no
46;admin.;secondary;married;no;-358;yes;no;0;no
36;blue-collar;secondary;married;no;539;yes;yes;0;no
51;technician;secondary;married;no;0;yes;no;0;no
40;retired;primary;married;no;0;no;no;0;no
42;blue-collar;secondary;married;no;490;yes;no;0;no
51;blue-collar;secondary;married;no;0;yes;no;0;no
49;blue-collar;unknown;married;no;403;yes;no;0;no
48;management;secondary;married;no;161;yes;no;0;no
32;technician;tertiary;married;no;2558;no;no;0;no
31;admin.;secondary;single;no;98;yes;no;0;no
55;management;tertiary;single;no;115;no;no;0;no
40;blue-collar;secondary;married;no;436;yes;no;0;no
47;technician;tertiary;single;no;831;yes;no;0;no
57;technician;unknown;married;no;206;yes;no;0;no
41;blue-collar;secondary;married;no;290;yes;no;0;no
48;blue-collar;secondary;married;no;1;no;no;0;no
42;blue-collar;unknown;married;no;57;yes;no;0;no
30;blue-collar;secondary;married;no;-457;yes;no;0;no
58;management;tertiary;married;no;1387;yes;no;0;no
45;management;tertiary;single;no;24598;yes;no;0;no
49;blue-collar;secondary;single;no;30;yes;no;0;yes
42;admin.;secondary;married;no;1022;yes;no;0;no
53;technician;secondary;married;no;56;yes;yes;0;no
51;admin.;secondary;single;yes;-2;no;no;0;no
32;services;secondary;married;no;121;yes;no;0;no
41;blue-collar;secondary;single;no;842;yes;no;0;no
43;management;secondary;married;no;693;yes;no;0;no
40;blue-collar;secondary;married;no;-333;yes;no;0;no
50;blue-collar;primary;married;no;1533;yes;no;0;no
34;management;tertiary;married;no;46;yes;no;0;no
53;services;unknown;married;no;18;no;no;0;no
45;technician;secondary;single;no;44;yes;no;0;no
39;blue-collar;primary;single;no;-100;yes;no;0;no
44;services;tertiary;single;no;510;yes;no;0;no
55;management;tertiary;married;no;685;yes;no;0;no
46;management;tertiary;single;no;187;yes;no;0;yes
45;blue-collar;secondary;married;no;66;yes;no;0;no
34;admin.;secondary;married;no;560;yes;no;0;no
36;blue-collar;secondary;single;no;0;yes;no;0;no
59;unknown;unknown;married;no;27;no;no;0;no
31;admin.;secondary;married;no;12;yes;no;0;no
44;blue-collar;secondary;married;no;34;yes;no;0;no
33;entrepreneur;tertiary;married;no;1068;yes;no;0;no
40;blue-collar;secondary;married;no;211;yes;no;0;yes
46;admin.;tertiary;married;no;377;yes;no;0;no
48;management;tertiary;married;no;263;yes;no;0;no
42;services;secondary;married;no;1263;yes;no;0;no
27;services;secondary;married;no;8;yes;no;0;no
48;admin.;secondary;married;no;126;yes;yes;0;no
59;admin.;secondary;married;no;230;yes;no;0;no
46;technician;tertiary;married;no;841;yes;no;0;no
38;admin.;secondary;married;no;308;yes;no;0;no
43;management;tertiary;married;no;1;yes;no;0;no
38;admin.;tertiary;married;no;86;yes;no;0;no
23;student;secondary;married;no;157;yes;no;0;no
34;services;secondary;married;no;22;yes;no;0;no
38;admin.;secondary;married;no;46;yes;yes;0;no
37;blue-collar;secondary;married;no;1293;no;no;0;no
25;admin.;secondary;married;no;122;yes;no;0;no
48;blue-collar;unknown;single;no;131;yes;no;0;no
49;blue-collar;secondary;married;no;143;yes;no;0;no
38;admin.;secondary;single;no;393;no;no;0;no
43;blue-collar;primary;married;no;98;yes;no;0;no
33;management;tertiary;single;no;0;yes;no;0;no
55;blue-collar;secondary;single;no;224;yes;no;0;no
38;blue-collar;secondary;married;no;757;yes;no;0;no
49;services;secondary;married;no;245;yes;yes;0;no
40;management;secondary;married;no;8486;no;no;0;no
43;admin.;unknown;married;no;350;no;no;0;no
38;blue-collar;secondary;married;no;20;yes;no;0;no
58;services;secondary;married;no;1667;yes;yes;0;no
57;technician;unknown;married;no;345;yes;no;0;no
32;unemployed;secondary;married;no;10;yes;no;0;no
56;management;tertiary;married;no;830;yes;yes;0;no
58;blue-collar;unknown;married;no;29;yes;no;0;no
60;retired;secondary;single;no;545;yes;no;0;no
37;technician;tertiary;married;no;8730;yes;no;0;yes
46;technician;tertiary;married;no;477;yes;no;0;no
27;admin.;secondary;married;no;4;yes;no;0;no
43;blue-collar;secondary;single;no;1205;yes;no;0;no
32;technician;secondary;married;no;0;yes;yes;0;no
40;admin.;secondary;married;no;263;yes;no;0;no
38;admin.;secondary;single;no;1;no;no;0;yes
34;blue-collar;secondary;single;no;283;no;yes;0;no
47;blue-collar;primary;married;no;206;yes;no;0;no
42;housemaid;primary;single;no;17;yes;no;0;no
48;technician;secondary;married;no;141;yes;yes;0;no
29;self-employed;tertiary;single;no;16;yes;no;0;yes
50;services;secondary;single;no;206;yes;no;0;no
52;technician;unknown;married;no;7;no;no;0;no
50;management;tertiary;married;no;0;no;no;0;no
58;retired;tertiary;married;no;0;no;no;0;no
46;blue-collar;primary;single;no;1927;yes;no;0;no
38;technician;secondary;married;no;284;yes;no;0;no
46;blue-collar;secondary;married;no;1660;yes;no;0;yes
32;services;secondary;married;no;406;yes;no;0;no
51;blue-collar;primary;married;no;230;yes;no;0;no
39;admin.;secondary;married;no;-25;yes;no;0;no
48;admin.;secondary;single;no;182;yes;no;0;no
36;entrepreneur;tertiary;married;no;1169;yes;no;0;no
34;admin.;secondary;single;no;67;yes;no;0;no
40;technician;secondary;married;no;77;no;no;0;no
43;unemployed;secondary;single;no;0;yes;no;0;no
52;blue-collar;primary;married;no;55;yes;yes;0;no
33;technician;secondary;single;yes;72;yes;no;0;no
49;management;tertiary;married;no;163;yes;no;0;no
32;management;tertiary;married;no;151;yes;no;0;no
39;admin.;secondary;single;no;113;yes;no;0;no
40;blue-collar;secondary;married;no;0;yes;no;0;no
38;technician;tertiary;married;no;9;yes;no;0;no
43;management;secondary;married;no;375;yes;no;0;no
39;services;secondary;married;no;1142;yes;no;0;no
54;blue-collar;primary;single;no;2102;yes;no;0;no
38;technician;tertiary;married;no;4325;yes;no;0;no
40;blue-collar;secondary;married;no;217;yes;no;0;no
55;admin.;secondary;married;no;131;yes;no;0;no
42;management;tertiary;married;no;1680;yes;no;0;no
39;blue-collar;secondary;single;no;0;yes;no;0;no
40;blue-collar;primary;married;no;46;yes;no;0;no
32;blue-collar;secondary;married;no;320;yes;no;0;no
55;admin.;secondary;married;no;183;yes;no;0;no
45;blue-collar;secondary;married;no;39;no;no;0;no
35;management;tertiary;single;no;560;yes;no;0;no
58;technician;secondary;married;no;469;no;no;0;no
35;admin.;secondary;married;no;530;yes;no;0;no
49;services;primary;married;no;61;yes;no;0;no
34;technician;tertiary;married;no;242;yes;no;0;no
36;blue-collar;secondary;married;no;139;yes;no;0;no
24;self-employed;secondary;married;no;0;yes;no;0;no
34;technician;secondary;married;no;367;yes;no;0;no
51;admin.;secondary;single;no;228;yes;no;0;no
39;technician;unknown;married;no;45248;yes;no;0;no
50;self-employed;unknown;single;no;-84;yes;no;0;no
32;services;secondary;single;no;310;yes;no;0;no
42;blue-collar;unknown;married;no;132;yes;no;0;no
50;technician;secondary;single;no;797;yes;no;0;yes
40;services;secondary;married;no;71;no;no;0;no
46;management;unknown;married;no;2;yes;no;0;no
37;management;tertiary;married;no;231;yes;yes;0;no
34;blue-collar;secondary;married;no;270;yes;yes;0;no
44;blue-collar;secondary;married;no;274;yes;yes;0;no
40;admin.;secondary;married;no;-109;yes;yes;0;yes
37;technician;secondary;single;no;1;yes;no;0;no
33;blue-collar;secondary;married;yes;-60;no;no;0;no
35;blue-collar;secondary;married;no;89;yes;no;0;no
58;blue-collar;secondary;married;no;-11;no;no;0;yes
39;blue-collar;primary;married;no;0;yes;no;0;no
43;blue-collar;secondary;married;no;-509;yes;no;0;no
39;unemployed;primary;single;no;408;yes;no;0;no
36;services;primary;married;no;58;yes;no;0;no
57;retired;secondary;single;no;1640;no;yes;0;no
36;admin.;secondary;single;no;20;yes;no;0;no
50;blue-collar;primary;married;no;71;yes;no;0;no
55;blue-collar;secondary;married;no;52;yes;no;0;no
44;self-employed;tertiary;married;no;292;yes;no;0;no
44;services;secondary;married;no;424;yes;no;0;no
39;housemaid;primary;single;no;109;yes;no;0;no
46;blue-collar;unknown;single;no;1044;yes;no;0;no
39;blue-collar;secondary;married;no;983;yes;no;0;no
34;admin.;secondary;married;no;869;no;no;0;no
40;blue-collar;primary;married;no;668;yes;no;0;no
50;management;tertiary;married;no;964;yes;no;0;no
31;management;secondary;single;no;301;yes;no;0;no
37;admin.;secondary;married;no;140;yes;no;0;no
39;management;secondary;married;no;1877;yes;no;0;no
51;blue-collar;primary;married;no;1127;yes;no;0;no
41;technician;secondary;married;no;871;yes;no;0;no
41;technician;secondary;single;no;767;yes;yes;0;yes
43;blue-collar;secondary;married;no;0;no;no;0;no
30;services;secondary;married;no;209;yes;no;0;no
54;management;primary;married;no;0;no;no;0;no
43;blue-collar;secondary;single;no;110;yes;yes;0;no
59;management;tertiary;married;no;-76;yes;yes;0;no
47;technician;unknown;married;no;178;yes;no;0;no
40;blue-collar;primary;single;no;-66;yes;no;0;no
32;technician;secondary;married;no;0;yes;no;0;no
29;blue-collar;secondary;single;no;1;yes;no;0;no
36;blue-collar;secondary;married;no;0;yes;no;0;no
55;unemployed;tertiary;married;no;5345;no;no;0;no
30;blue-collar;secondary;married;no;-209;yes;no;0;yes
39;admin.;secondary;single;no;0;yes;no;0;yes
39;blue-collar;secondary;married;no;42;yes;no;0;no
50;blue-collar;secondary;single;no;41;yes;no;0;no
44;blue-collar;secondary;married;no;-99;yes;no;0;no
37;technician;secondary;married;no;17;yes;no;0;no
46;admin.;primary;married;no;276;yes;yes;0;yes
32;technician;unknown;married;no;-170;no;no;0;yes
37;management;tertiary;single;no;230;yes;yes;0;yes
29;blue-collar;secondary;married;no;9;yes;no;0;no
41;blue-collar;secondary;married;no;946;yes;no;0;no
45;blue-collar;primary;married;no;1297;yes;no;0;yes
57;retired;secondary;single;no;-331;yes;no;0;no
48;blue-collar;secondary;single;no;44;yes;no;0;no
60;retired;secondary;married;yes;15;no;no;0;no
26;admin.;secondary;married;no;712;yes;no;0;yes
58;retired;secondary;married;no;5435;yes;no;0;no
34;admin.;secondary;single;no;507;yes;no;0;no
55;unemployed;secondary;married;no;387;yes;no;0;no
41;blue-collar;primary;married;no;0;yes;yes;0;no
50;management;secondary;single;no;1716;yes;no;0;no
49;entrepreneur;secondary;single;no;167;yes;yes;0;no
44;admin.;unknown;married;no;40;no;yes;0;no
44;blue-collar;primary;single;no;148;yes;no;0;no
31;technician;secondary;married;no;17;yes;yes;0;no
34;blue-collar;tertiary;single;no;1011;yes;no;0;no
46;management;unknown;single;no;1527;yes;no;0;no
42;management;tertiary;married;no;744;no;no;0;no
52;admin.;secondary;married;no;484;yes;no;0;no
29;management;tertiary;married;no;0;yes;no;0;no
53;retired;primary;married;no;136;yes;no;0;no
43;blue-collar;secondary;single;no;1335;yes;no;0;no
38;management;secondary;married;no;517;yes;no;0;no
46;management;tertiary;married;no;459;yes;no;0;no
48;management;unknown;single;no;549;yes;no;0;no
30;admin.;secondary;married;no;83;yes;yes;0;no
44;blue-collar;primary;single;no;213;no;no;0;no
31;housemaid;primary;married;no;203;yes;no;0;no
42;services;secondary;single;no;518;yes;no;0;no
40;management;tertiary;married;no;3877;yes;no;0;no
52;admin.;secondary;married;no;1236;yes;no;0;yes
45;blue-collar;secondary;single;no;756;yes;no;0;no
48;blue-collar;secondary;single;no;157;yes;no;0;no
45;blue-collar;primary;single;no;-66;yes;no;0;no
34;blue-collar;unknown;married;no;245;yes;no;0;yes
34;blue-collar;primary;married;no;-144;yes;no;0;no
46;blue-collar;secondary;married;no;71;yes;no;0;no
49;services;secondary;married;no;505;yes;no;0;no
50;technician;primary;married;no;249;yes;no;0;no
34;admin.;secondary;married;no;0;yes;no;0;no
40;unemployed;secondary;married;no;11;yes;no;0;no
36;admin.;secondary;married;no;639;yes;no;0;no
59;blue-collar;unknown;married;no;124;yes;no;0;no
45;blue-collar;secondary;single;no;82;yes;no;0;no
36;self-employed;tertiary;married;no;107;yes;no;0;no
56;services;secondary;married;no;473;yes;no;0;no
42;services;secondary;single;no;372;yes;yes;0;yes
